entite_acheteur,domaine_d_achat,type_de_prestation,objet_de_la_consultation,estimation_des_depenses_en_eur_h_t_montant_total_de_l_operation_ou_montant_annuel_des_depenses_pour_,clause_insertion_un_ou_plusieurs_lots_de_la_consultation_le_cas_echeant,marche_s_reserve_s_un_ou_plusieurs_lots_de_la_consultation_le_cas_echeant,periode_previsionnelle_de_consultation,interlocuteur
Ville de Rennes,"Culture, animation, sports, loisirs",Services,Prestations Open de tennis Blot,Entre 90 K€ et 500 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Culture, animation, sports, loisirs",Services,Transport Rennes à la mer et au vert,Entre 90 K€ et 500 K€,Non,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Culture, animation, sports, loisirs",Services,Sécurité des files d'attente des piscines,Entre 40 K€ et 90 K€,Oui,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Sécurité, gardiennage",Services,Surveillance du CTM,Entre 40 K€ et 90 K€,Non,,1er trimestre 2025,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Bâtiment,Fournitures,"Fourniture de peinture
lot 4 matériel pour travaux de peinture",<40 K€,Non,,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Nettoyage, hygiène",Services,Lavage des couvertures des établissements scolaires,<40 K€,Non,Structures du handicap,2ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Bâtiment,Services,Audits énergétiques,Entre 90 K€ et 500 K€,,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Bâtiment,Services,Fourniture et maintenance corrective de defibrillateurs,Entre 90 K€ et 500 K€,,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Bâtiment,Services,Opéra - Maintenance préventive et corrective des équipements scéniques,Entre 40 K€ et 90 K€,,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Bâtiment,Services,Vérifications réglementaires (7 lots),Entre 90 K€ et 500 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Bâtiment,Services,Nettoyage des établissements sportifs,> 90 000 €,,,3ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Bâtiment,Services,maintenance du système d'extinction à eau Opéra,Entre 40 K€ et 90 K€,,,2ème trimestre 2026,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Transports et mobilités,Services,Aménagement de véhicule,Entre 40 K€ et 90 K€,Non,Non,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Transports et mobilités,Fournitures,"Ingrédients pour véhicules et matériels thermiques et hydrauliques (huile moteur, huile hydraulique, huile de pont, graisse…)",Entre 40 K€ et 90 K€,Non,Non,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Transports et mobilités,Services,Contrôle obligatoire poids lourds,<40 K€,Non,Non,4ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Transports et mobilités,Fournitures,Acquisition de matériel et véhicule,Entre 500 K€ et 1 M€,Non,Non,2ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Transports et mobilités,Fournitures,Acquisition de matériel et véhicule,Entre 90 K€ et 500 K€,Non,Non,3ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,Transports et mobilités,Fournitures,Acquisition de matériel et véhicule,Entre 500 K€ et 1 M€,Non,Non,2ème trimestre 2026,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,Transports et mobilités,Fournitures,Acquisition de matériel et véhicule,Entre 90 K€ et 500 K€,Non,Non,3ème trimestre 2026,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Finance, assurances, juridique, ressources humaines",Services,"Collectivité RM avec gpement de commande Ville- Coordonateur RM 
L'ABONNEMENT A UNE BASE DE DONNEES JURIDIQUES EN LIGNE POUR LES BESOINS DES AGENTS VILLE DE RENNES ET RENNES METROPOLE",Entre 90 K€ et 500 K€,,,2ème trimestre 2024,scp-commandepublique@rennesmetropole.fr
Ville de Rennes,"Finance, assurances, juridique, ressources humaines",Technologies de l'Information et de la Communication,Logiciel de fiscalité locale,<40 K€,Non,Non,1er trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Voirie et réseaux divers, aménagement urbain, infrastructures, assainissement",Prestations Intellectuelles,Cahiers de recommandations typo-morphologiques et ensembles urbains,<40 K€,,,2ème trimestre 2025,scp-commandepublique@rennesmetropole.fr
Rennes Métropole,"Hébergement, hôtellerie",Services,"Prospection en direction du parc privé pour développer le parc de logements mis à disposition de personnes et familles en difficulté, et gestion de logements privés et publics",> 10 M€,,,1er trimestre 2024,scp-commandepublique@rennesmetropole.fr
